项目名称,区域,项目地址,经纬度,据熊猫项目,熊猫项目
大连路项目,虹口区,大连路1599号3楼,"121.502161,31.273658",2.199175055,四川北路一店
大连路项目,虹口区,大连路1599号3楼,"121.502161,31.273658",2.190274585,国权路店
大连路项目,虹口区,大连路1599号3楼,"121.502161,31.273658",3.938443824,延长路店
大连路项目,虹口区,大连路1599号3楼,"121.502161,31.273658",4.133372196,国安路店
大连路项目,虹口区,大连路1599号3楼,"121.502161,31.273658",4.676355831,汶水路店
大连路项目,虹口区,大连路1599号3楼,"121.502161,31.273658",3.448515825,河南北路店
大连路项目,虹口区,大连路1599号3楼,"121.502161,31.273658",3.128250543,国定东路店
大连路项目,虹口区,大连路1599号3楼,"121.502161,31.273658",3.464468564,河南北路二店
大连路项目,虹口区,大连路1599号3楼,"121.502161,31.273658",1.604484297,控江路店
大连路项目,虹口区,大连路1599号3楼,"121.502161,31.273658",3.483027213,淞沪路店
大连路项目,虹口区,大连路1599号3楼,"121.502161,31.273658",4.974508176,商城路店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",4.91850035,武宁路店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",3.50314773,四川北路一店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",3.29982668,江宁路店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",1.255569621,淮海东路店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",1.255569621,淮海东路二店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",4.683926375,延长路店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",0.19750979,南京西路店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",2.065015353,河南北路店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",2.053430707,河南北路二店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",3.29982668,江宁路二店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",4.84358244,曹杨路店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",3.684977156,叶家宅路店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",4.476990721,商城路店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",2.904725123,斜徐路店
大统路项目,静安区,静安区大统路988号B幢二层205室、206室、207室,"121.459260,31.255429",4.001514325,武宁路店
大统路项目,静安区,静安区大统路988号B幢二层205室、206室、207室,"121.459260,31.255429",2.42727994,四川北路一店
大统路项目,静安区,静安区大统路988号B幢二层205室、206室、207室,"121.459260,31.255429",1.979771023,江宁路店
大统路项目,静安区,静安区大统路988号B幢二层205室、206室、207室,"121.459260,31.255429",3.546681622,灵石路店
大统路项目,静安区,静安区大统路988号B幢二层205室、206室、207室,"121.459260,31.255429",3.957879874,淮海东路店
大统路项目,静安区,静安区大统路988号B幢二层205室、206室、207室,"121.459260,31.255429",3.957879874,淮海东路二店
大统路项目,静安区,静安区大统路988号B幢二层205室、206室、207室,"121.459260,31.255429",2.019090714,延长路店
大统路项目,静安区,静安区大统路988号B幢二层205室、206室、207室,"121.459260,31.255429",3.248673066,广中西路店
大统路项目,静安区,静安区大统路988号B幢二层205室、206室、207室,"121.459260,31.255429",2.827994178,南京西路店
大统路项目,静安区,静安区大统路988号B幢二层205室、206室、207室,"121.459260,31.255429",4.259737867,汶水路店
大统路项目,静安区,静安区大统路988号B幢二层205室、206室、207室,"121.459260,31.255429",2.092159979,河南北路店
大统路项目,静安区,静安区大统路988号B幢二层205室、206室、207室,"121.459260,31.255429",2.070782818,河南北路二店
大统路项目,静安区,静安区大统路988号B幢二层205室、206室、207室,"121.459260,31.255429",1.979771023,江宁路二店
大统路项目,静安区,静安区大统路988号B幢二层205室、206室、207室,"121.459260,31.255429",4.248684447,曹杨路店
大统路项目,静安区,静安区大统路988号B幢二层205室、206室、207室,"121.459260,31.255429",3.224152475,叶家宅路店
宜山路项目,闵行区,宜山路1768号1楼,"121.389468,31.168368",1.149055217,吴中路店
宜山路项目,闵行区,宜山路1768号1楼,"121.389468,31.168368",2.579443935,古北路店
宜山路项目,闵行区,宜山路1768号1楼,"121.389468,31.168368",4.221163899,凯旋路店
宜山路项目,闵行区,宜山路1768号1楼,"121.389468,31.168368",4.229601173,中山西路店
合川路项目,闵行区,闵行区合川路3098号1楼、2楼、3楼,"121.380754,31.178919",4.819509327,协和路一店
合川路项目,闵行区,闵行区合川路3098号1楼、2楼、3楼,"121.380754,31.178919",4.819509327,协和路二店
合川路项目,闵行区,闵行区合川路3098号1楼、2楼、3楼,"121.380754,31.178919",0.580477091,吴中路店
合川路项目,闵行区,闵行区合川路3098号1楼、2楼、3楼,"121.380754,31.178919",4.289901875,天山路店
合川路项目,闵行区,闵行区合川路3098号1楼、2楼、3楼,"121.380754,31.178919",2.358032121,古北路店
合川路项目,闵行区,闵行区合川路3098号1楼、2楼、3楼,"121.380754,31.178919",4.663145535,凯旋路店
合川路项目,闵行区,闵行区合川路3098号1楼、2楼、3楼,"121.380754,31.178919",4.82246422,中山西路店
世界广场项目,浦东区,浦东南路855号B1楼,"121.514952,31.232312",4.436785624,四川北路一店
世界广场项目,浦东区,浦东南路855号B1楼,"121.514952,31.232312",3.33434636,淮海东路店
世界广场项目,浦东区,浦东南路855号B1楼,"121.514952,31.232312",3.33434636,淮海东路二店
世界广场项目,浦东区,浦东南路855号B1楼,"121.514952,31.232312",4.370709888,南京西路店
世界广场项目,浦东区,浦东南路855号B1楼,"121.514952,31.232312",3.82008205,河南北路店
世界广场项目,浦东区,浦东南路855号B1楼,"121.514952,31.232312",3.839520314,河南北路二店
世界广场项目,浦东区,浦东南路855号B1楼,"121.514952,31.232312",4.736255361,控江路店
世界广场项目,浦东区,浦东南路855号B1楼,"121.514952,31.232312",0.31036083,商城路店
世界广场项目,浦东区,浦东南路855号B1楼,"121.514952,31.232312",4.96315889,斜徐路店
新大陆广场项目,浦东区,上海市南泉北路528号2楼,"121.518196,31.229709",4.858976229,四川北路一店
新大陆广场项目,浦东区,上海市南泉北路528号2楼,"121.518196,31.229709",3.581996566,淮海东路店
新大陆广场项目,浦东区,上海市南泉北路528号2楼,"121.518196,31.229709",3.581996566,淮海东路二店
新大陆广场项目,浦东区,上海市南泉北路528号2楼,"121.518196,31.229709",4.682462328,南京西路店
新大陆广场项目,浦东区,上海市南泉北路528号2楼,"121.518196,31.229709",4.232563661,河南北路店
新大陆广场项目,浦东区,上海市南泉北路528号2楼,"121.518196,31.229709",4.251680452,河南北路二店
新大陆广场项目,浦东区,上海市南泉北路528号2楼,"121.518196,31.229709",0.150846437,商城路店
越秀大厦项目,浦东新区,浦东新区福山路388号1幢102号B10B,"121.530088,31.224720",4.677337121,淮海东路店
越秀大厦项目,浦东新区,浦东新区福山路388号1幢102号B10B,"121.530088,31.224720",4.677337121,淮海东路二店
越秀大厦项目,浦东新区,浦东新区福山路388号1幢102号B10B,"121.530088,31.224720",1.360549438,商城路店
新会路项目,普陀区,普陀区新会路139号2楼,"121.442027,31.241326",2.062832777,武宁路店
新会路项目,普陀区,普陀区新会路139号2楼,"121.442027,31.241326",4.571416169,四川北路一店
新会路项目,普陀区,普陀区新会路139号2楼,"121.442027,31.241326",0.661547362,江宁路店
新会路项目,普陀区,普陀区新会路139号2楼,"121.442027,31.241326",4.208119244,灵石路店
新会路项目,普陀区,普陀区新会路139号2楼,"121.442027,31.241326",4.122329589,淮海东路店
新会路项目,普陀区,普陀区新会路139号2楼,"121.442027,31.241326",4.122329589,淮海东路二店
新会路项目,普陀区,普陀区新会路139号2楼,"121.442027,31.241326",4.003095387,延长路店
新会路项目,普陀区,普陀区新会路139号2楼,"121.442027,31.241326",4.15205495,广中西路店
新会路项目,普陀区,普陀区新会路139号2楼,"121.442027,31.241326",3.566370387,兰溪路店
新会路项目,普陀区,普陀区新会路139号2楼,"121.442027,31.241326",2.797210564,南京西路店
新会路项目,普陀区,普陀区新会路139号2楼,"121.442027,31.241326",3.716180798,河南北路店
新会路项目,普陀区,普陀区新会路139号2楼,"121.442027,31.241326",3.692953484,河南北路二店
新会路项目,普陀区,普陀区新会路139号2楼,"121.442027,31.241326",0.661547362,江宁路二店
新会路项目,普陀区,普陀区新会路139号2楼,"121.442027,31.241326",4.252419571,金沙江路店
新会路项目,普陀区,普陀区新会路139号2楼,"121.442027,31.241326",2.132100356,曹杨路店
新会路项目,普陀区,普陀区新会路139号2楼,"121.442027,31.241326",0.99014333,叶家宅路店
新会路项目,普陀区,普陀区新会路139号2楼,"121.442027,31.241326",4.848686863,天山路店
新会路项目,普陀区,普陀区新会路139号2楼,"121.442027,31.241326",3.500270285,曹杨路二店
新会路项目,普陀区,普陀区新会路139号2楼,"121.442027,31.241326",4.868008946,斜徐路店
中潭路项目,普陀区,中山北路1412号远景大厦2楼,"121.441985,31.255165",2.540415148,武宁路店
中潭路项目,普陀区,中山北路1412号远景大厦2楼,"121.441985,31.255165",4.032925134,四川北路一店
中潭路项目,普陀区,中山北路1412号远景大厦2楼,"121.441985,31.255165",0.895656488,江宁路店
中潭路项目,普陀区,中山北路1412号远景大厦2楼,"121.441985,31.255165",2.712191175,灵石路店
中潭路项目,普陀区,中山北路1412号远景大厦2楼,"121.441985,31.255165",4.99608373,淮海东路店
中潭路项目,普陀区,中山北路1412号远景大厦2楼,"121.441985,31.255165",4.99608373,淮海东路二店
中潭路项目,普陀区,中山北路1412号远景大厦2楼,"121.441985,31.255165",2.714667208,延长路店
中潭路项目,普陀区,中山北路1412号远景大厦2楼,"121.441985,31.255165",2.619723664,广中西路店
中潭路项目,普陀区,中山北路1412号远景大厦2楼,"121.441985,31.255165",3.964393067,兰溪路店
中潭路项目,普陀区,中山北路1412号远景大厦2楼,"121.441985,31.255165",3.688816547,南京西路店
中潭路项目,普陀区,中山北路1412号远景大厦2楼,"121.441985,31.255165",4.582933416,汶水路店
中潭路项目,普陀区,中山北路1412号远景大厦2楼,"121.441985,31.255165",3.677546319,河南北路店
中潭路项目,普陀区,中山北路1412号远景大厦2楼,"121.441985,31.255165",3.65489589,河南北路二店
中潭路项目,普陀区,中山北路1412号远景大厦2楼,"121.441985,31.255165",0.895656488,江宁路二店
中潭路项目,普陀区,中山北路1412号远景大厦2楼,"121.441985,31.255165",4.850988867,金沙江路店
中潭路项目,普陀区,中山北路1412号远景大厦2楼,"121.441985,31.255165",2.901843479,曹杨路店
中潭路项目,普陀区,中山北路1412号远景大厦2楼,"121.441985,31.255165",2.154420701,叶家宅路店
中潭路项目,普陀区,中山北路1412号远景大厦2楼,"121.441985,31.255165",3.610093082,曹杨路二店
桂林路项目,徐汇区,桂林路402号1楼,"121.416900,31.171522",2.966330544,吴中路店
桂林路项目,徐汇区,桂林路402号1楼,"121.416900,31.171522",4.577536302,天山路店
桂林路项目,徐汇区,桂林路402号1楼,"121.416900,31.171522",2.319914901,古北路店
桂林路项目,徐汇区,桂林路402号1楼,"121.416900,31.171522",1.922635838,凯旋路店
桂林路项目,徐汇区,桂林路402号1楼,"121.416900,31.171522",1.736089469,中山西路店
徐家汇二店项目,徐汇区,肇嘉浜路333号B1楼,"121.460490,31.202191",3.209058249,淮海东路店
徐家汇二店项目,徐汇区,肇嘉浜路333号B1楼,"121.460490,31.202191",3.209058249,淮海东路二店
徐家汇二店项目,徐汇区,肇嘉浜路333号B1楼,"121.460490,31.202191",3.356540809,南京西路店
徐家汇二店项目,徐汇区,肇嘉浜路333号B1楼,"121.460490,31.202191",4.747495524,叶家宅路店
徐家汇二店项目,徐汇区,肇嘉浜路333号B1楼,"121.460490,31.202191",3.530029915,凯旋路店
徐家汇二店项目,徐汇区,肇嘉浜路333号B1楼,"121.460490,31.202191",3.639883453,中山西路店
徐家汇二店项目,徐汇区,肇嘉浜路333号B1楼,"121.460490,31.202191",1.241835151,斜徐路店
桂平路项目,徐汇区,徐汇区桂平路391号1幢1号楼115室,"121.403236,31.164600",2.194809096,吴中路店
桂平路项目,徐汇区,徐汇区桂平路391号1幢1号楼115室,"121.403236,31.164600",2.663947431,古北路店
桂平路项目,徐汇区,徐汇区桂平路391号1幢1号楼115室,"121.403236,31.164600",3.372949194,凯旋路店
桂平路项目,徐汇区,徐汇区桂平路391号1幢1号楼115室,"121.403236,31.164600",3.242476106,中山西路店
文定路项目,徐汇区,上海市文定路200号2C01BC、2D04、2D05A,"121.431868,31.186770",4.389014663,吴中路店
文定路项目,徐汇区,上海市文定路200号2C01BC、2D04、2D05A,"121.431868,31.186770",3.744772875,天山路店
文定路项目,徐汇区,上海市文定路200号2C01BC、2D04、2D05A,"121.431868,31.186770",2.773187954,古北路店
文定路项目,徐汇区,上海市文定路200号2C01BC、2D04、2D05A,"121.431868,31.186770",0.309007301,凯旋路店
文定路项目,徐汇区,上海市文定路200号2C01BC、2D04、2D05A,"121.431868,31.186770",0.63848798,中山西路店
文定路项目,徐汇区,上海市文定路200号2C01BC、2D04、2D05A,"121.431868,31.186770",4.447418037,斜徐路店
国定路项目,杨浦区,上海市杨浦区四平路2152号地下一层,"121.513323,31.294616",4.613840513,四川北路一店
国定路项目,杨浦区,上海市杨浦区四平路2152号地下一层,"121.513323,31.294616",0.996227463,国权路店
国定路项目,杨浦区,上海市杨浦区四平路2152号地下一层,"121.513323,31.294616",1.940139788,国安路店
国定路项目,杨浦区,上海市杨浦区四平路2152号地下一层,"121.513323,31.294616",0.748470119,国定东路店
国定路项目,杨浦区,上海市杨浦区四平路2152号地下一层,"121.513323,31.294616",2.279344656,控江路店
国定路项目,杨浦区,上海市杨浦区四平路2152号地下一层,"121.513323,31.294616",0.981865226,淞沪路店
延安西路项目,长宁区,延安西路1066号,"121.430842,31.211973",3.465519217,武宁路店
延安西路项目,长宁区,延安西路1066号,"121.430842,31.211973",4.032895606,江宁路店
延安西路项目,长宁区,延安西路1066号,"121.430842,31.211973",4.98944372,淮海东路店
延安西路项目,长宁区,延安西路1066号,"121.430842,31.211973",4.98944372,淮海东路二店
延安西路项目,长宁区,延安西路1066号,"121.430842,31.211973",3.945040697,兰溪路店
延安西路项目,长宁区,延安西路1066号,"121.430842,31.211973",4.233691775,南京西路店
延安西路项目,长宁区,延安西路1066号,"121.430842,31.211973",4.032895606,江宁路二店
延安西路项目,长宁区,延安西路1066号,"121.430842,31.211973",3.808145588,金沙江路店
延安西路项目,长宁区,延安西路1066号,"121.430842,31.211973",2.952718182,曹杨路店
延安西路项目,长宁区,延安西路1066号,"121.430842,31.211973",2.852177338,叶家宅路店
延安西路项目,长宁区,延安西路1066号,"121.430842,31.211973",2.456771708,天山路店
延安西路项目,长宁区,延安西路1066号,"121.430842,31.211973",4.472740444,曹杨路二店
延安西路项目,长宁区,延安西路1066号,"121.430842,31.211973",3.73240616,古北路店
延安西路项目,长宁区,延安西路1066号,"121.430842,31.211973",2.97956421,凯旋路店
延安西路项目,长宁区,延安西路1066号,"121.430842,31.211973",3.442309747,中山西路店
延安西路项目,长宁区,延安西路1066号,"121.430842,31.211973",4.027915613,斜徐路店
爱食忆中骏广场,闵行区,上海市闵行区申长路1688弄地下一层中骏广场,"121.314183,31.211708",4.027516283,协和路一店
爱食忆中骏广场,闵行区,上海市闵行区申长路1688弄地下一层中骏广场,"121.314183,31.211708",4.027516283,协和路二店
爱食忆中骏广场,闵行区,上海市闵行区申长路1688弄地下一层中骏广场,"121.314183,31.211708",3.938770243,天山西路店
桃源里田林东路项目,徐汇区,上海市徐汇区田林东路75号3楼 ,"121.433241,31.174087",4.447435964,吴中路店
桃源里田林东路项目,徐汇区,上海市徐汇区田林东路75号3楼 ,"121.433241,31.174087",4.943291535,天山路店
桃源里田林东路项目,徐汇区,上海市徐汇区田林东路75号3楼 ,"121.433241,31.174087",3.31332943,古北路店
桃源里田林东路项目,徐汇区,上海市徐汇区田林东路75号3楼 ,"121.433241,31.174087",1.301713328,凯旋路店
桃源里田林东路项目,徐汇区,上海市徐汇区田林东路75号3楼 ,"121.433241,31.174087",0.796568097,中山西路店
长寿路项目,普陀区,上海市普陀区长寿路577、581号1楼 ,"121.434547,31.237309",1.439339383,武宁路店
长寿路项目,普陀区,上海市普陀区长寿路577、581号1楼 ,"121.434547,31.237309",1.251012377,江宁路店
长寿路项目,普陀区,上海市普陀区长寿路577、581号1楼 ,"121.434547,31.237309",4.576439266,灵石路店
长寿路项目,普陀区,上海市普陀区长寿路577、581号1楼 ,"121.434547,31.237309",4.621898022,淮海东路店
长寿路项目,普陀区,上海市普陀区长寿路577、581号1楼 ,"121.434547,31.237309",4.621898022,淮海东路二店
长寿路项目,普陀区,上海市普陀区长寿路577、581号1楼 ,"121.434547,31.237309",4.740849818,延长路店
长寿路项目,普陀区,上海市普陀区长寿路577、581号1楼 ,"121.434547,31.237309",4.598531576,广中西路店
长寿路项目,普陀区,上海市普陀区长寿路577、581号1楼 ,"121.434547,31.237309",2.857828438,兰溪路店
长寿路项目,普陀区,上海市普陀区长寿路577、581号1楼 ,"121.434547,31.237309",3.348075479,南京西路店
长寿路项目,普陀区,上海市普陀区长寿路577、581号1楼 ,"121.434547,31.237309",4.521129356,河南北路店
长寿路项目,普陀区,上海市普陀区长寿路577、581号1楼 ,"121.434547,31.237309",4.498153197,河南北路二店
长寿路项目,普陀区,上海市普陀区长寿路577、581号1楼 ,"121.434547,31.237309",1.251012377,江宁路二店
长寿路项目,普陀区,上海市普陀区长寿路577、581号1楼 ,"121.434547,31.237309",3.464884662,金沙江路店
长寿路项目,普陀区,上海市普陀区长寿路577、581号1楼 ,"121.434547,31.237309",1.363193847,曹杨路店
长寿路项目,普陀区,上海市普陀区长寿路577、581号1楼 ,"121.434547,31.237309",0.186495735,叶家宅路店
长寿路项目,普陀区,上海市普陀区长寿路577、581号1楼 ,"121.434547,31.237309",4.027650936,天山路店
长寿路项目,普陀区,上海市普陀区长寿路577、581号1楼 ,"121.434547,31.237309",2.912310179,曹杨路二店
